
2016-11-08 12:56:20,099 | INFO  | Principal.vb | Inicio de proceso....    08/11/2016 12:56:20 p. m. - 
2016-11-08 12:56:25,749 | ERROR | Principal.vb | No hay ninguna fila en la posición 0. - 
2016-11-08 12:56:27,693 | INFO  | Principal.vb | Borrado..... - 
2016-11-08 12:56:30,529 | INFO  | Borrado.vb | Referencia Borrada - 
2016-11-17 09:33:54,652 | INFO  | Principal.vb | Inicio de proceso....    17/11/2016 09:33:54 a. m. - 
2016-11-17 09:38:58,244 | INFO  | Borrado.vb | Referencia Borrada - 
2016-11-17 09:39:18,284 | INFO  | Principal.vb | Inicio de proceso....    17/11/2016 09:39:18 a. m. - 
2016-11-17 09:40:33,072 | INFO  | Borrado.vb | Referencia Borrada - 
2016-11-17 09:40:40,386 | INFO  | Principal.vb | Inicio de proceso....    17/11/2016 09:40:40 a. m. - 
2016-11-17 09:48:35,335 | INFO  | Borrado.vb | Referencia Borrada - 
2016-11-17 09:48:43,601 | INFO  | Principal.vb | Inicio de proceso....    17/11/2016 09:48:43 a. m. - 
2016-11-17 09:49:21,408 | INFO  | Principal.vb | Insercion Factura con el ID: 9041 - 
2016-11-17 09:51:15,868 | INFO  | Borrado.vb | Referencia Borrada - 
2016-11-17 09:51:24,978 | INFO  | Principal.vb | Inicio de proceso....    17/11/2016 09:51:24 a. m. - 
2016-11-17 09:52:44,188 | INFO  | Borrado.vb | Referencia Borrada - 
2016-11-17 09:52:51,705 | INFO  | Principal.vb | Inicio de proceso....    17/11/2016 09:52:51 a. m. - 
2016-11-17 09:53:06,993 | INFO  | Principal.vb | Insercion Factura con el ID: 9041 - 
2016-11-17 09:53:21,386 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:53:31,819 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:53:44,205 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:53:59,425 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:53:59,458 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:53:59,469 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:54:00,716 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:54:01,375 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:54:01,376 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:54:01,398 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:54:30,610 | INFO  | Principal.vb | Insercion Factura con el ID: 9042 - 
2016-11-17 09:54:31,974 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:54:31,984 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:54:32,004 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:54:34,814 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:54:34,921 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:54:34,975 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:54:38,484 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:54:38,633 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:54:38,633 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:54:38,634 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:54:39,333 | INFO  | Principal.vb | Insercion Factura con el ID: 9043 - 
2016-11-17 09:54:40,219 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:54:40,337 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:54:40,359 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:54:41,405 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:54:41,420 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:54:41,482 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:54:42,263 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:54:42,625 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:54:42,625 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:54:42,626 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:54:43,310 | INFO  | Principal.vb | Insercion Factura con el ID: 9044 - 
2016-11-17 09:54:44,091 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:54:44,118 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:54:44,150 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:54:44,931 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:54:44,960 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:54:44,969 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:54:45,618 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:54:45,749 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:54:45,750 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:54:45,751 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:54:46,280 | INFO  | Principal.vb | Insercion Factura con el ID: 9045 - 
2016-11-17 09:54:47,068 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:54:47,077 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:54:47,100 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:54:50,343 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:54:50,371 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:54:50,381 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:54:51,207 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:54:51,319 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:54:51,320 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
2016-11-17 09:54:51,321 | FATAL | Principal.vb |    en Microsoft.VisualBasic.CompilerServices.Conversions.ToInteger(String Value)   en conexion.ClsProcesos.ejecutaQuery(String query) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsProcesos.vb:línea 284   en conexion.ClsFacturaPartidas.creapartida(ClsFacturaPartidas objpart) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Clases\ClsFacturaPartidas.vb:línea 280   en conexion.Form1.PartidasFactura(String idfactura, Int32 consecutivo, String referencia, List`1 id_salidas) en C:\Users\deintec\Dropbox\Deintec\conexion\conexion\Form1.vb:línea 611 - 
2016-11-17 09:54:52,169 | INFO  | Principal.vb | Insercion Factura con el ID: 9067 - 
2016-11-17 09:54:52,976 | INFO  | Principal.vb | se inserta partida 63169 - 
2016-11-17 09:54:53,039 | INFO  | Principal.vb | se inserta series #Partida: 63169 - 
2016-11-17 09:54:53,079 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63169 - 
2016-11-17 09:54:54,077 | INFO  | Principal.vb | se inserta partida 63170 - 
2016-11-17 09:54:54,086 | INFO  | Principal.vb | se inserta series #Partida: 63170 - 
2016-11-17 09:54:54,095 | INFO  | Principal.vb | se inserta indentifcadores #Partida:  63170 - 
2016-11-17 09:55:17,738 | INFO  | Principal.vb | se inserta partida 63171 - 
2016-11-17 09:55:17,837 | INFO  | Principal.vb | Error al insertar las partidas - 
2016-11-17 09:55:17,838 | ERROR | Principal.vb | La conversión de la cadena "violation of PRIMARY or UNIQUE K" en el tipo 'Integer' no es válida. - 
